"observation.id","survey.id","date.ymd","doy","species","spec.code","guild","time","sampling.time","num.observers","sampling.effort","effort.multiplier","breed","behaviour","notes","observers","guild2","date","period","year","month","day","survey.num","transect","start.time","end.time","rec.num","end.time.filled","transect.id","original.total"
41,"12-Jun-90_EARLY_1",1990-06-12,163,"ptarmigan sp.","PTAR",NA,10:34:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,1001,FALSE,"12-Jun-90_EARLY_1_2",3
41,"12-Jun-90_EARLY_1",1990-06-12,163,"ptarmigan sp.","PTAR",NA,10:34:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,1001,FALSE,"12-Jun-90_EARLY_1_2",3
41,"12-Jun-90_EARLY_1",1990-06-12,163,"ptarmigan sp.","PTAR",NA,10:34:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,1001,FALSE,"12-Jun-90_EARLY_1_2",3
42,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",10:37:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1014,TRUE,"12-Jun-90_EARLY_1_3",9
42,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",10:37:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1014,TRUE,"12-Jun-90_EARLY_1_3",9
42,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",10:37:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1014,TRUE,"12-Jun-90_EARLY_1_3",9
42,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",10:37:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1014,TRUE,"12-Jun-90_EARLY_1_3",9
42,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",10:37:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1014,TRUE,"12-Jun-90_EARLY_1_3",9
42,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",10:37:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1014,TRUE,"12-Jun-90_EARLY_1_3",9
42,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",10:37:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1014,TRUE,"12-Jun-90_EARLY_1_3",9
